,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
104,1959,PHW,1650.6,4241.4,3.5733,0.0,0.0,0.0,1558.6,4402.3,3.14015,2.8432,1012.7,1509.65,0.0,0.0,2579.65,813.0,0.0,0.0,0.0,1227.8,5303.5,500.0,False
105,1959,STL,1705.1,3915.3,3.8787,0.0,0.0,0.0,1656.2,4254.7,3.3941,2.9432,1213.5,1779.9,0.0,0.0,2895.3,837.2,0.0,0.0,0.0,1369.25,5535.65,436.0,True
106,1959,SYR,2045.3000000000002,4670.7,4.4016,0.0,0.0,0.0,1921.0,5012.9,3.9991000000000003,3.6763,1319.9,1843.1,0.0,0.0,2872.2000000000003,847.9,0.0,0.0,0.0,1402.3,6006.05,496.0,True
108,1960,BOS,2267.7,5366.7,3.3771,0.0,0.0,0.0,2088.0,5426.2,2.93215,2.5937,1118.4,1651.95,0.0,0.0,3544.8500000000004,1130.1,0.0,0.0,0.0,1279.75,6632.45,558.0,True
109,1960,CIN,1941.6,4623.3,3.8424,0.0,0.0,0.0,1874.0,4814.6,3.42445,2.988,1163.0,1793.75,0.0,0.0,3016.5,993.8,0.0,0.0,0.0,1507.2,6048.4,354.0,False
110,1960,DET,1939.2,4832.8,3.41635,0.0,0.0,0.0,1754.4,4806.900000000001,3.00225,2.6983,1306.8,1847.0,0.0,0.0,2830.65,910.9,0.0,0.0,0.0,1385.35,5991.9,322.0,True
111,1960,MNL,1750.1,4641.9,4.8157499999999995,0.0,0.0,0.0,1700.4,4691.1,4.290100000000001,3.7346,1154.4,1736.65,0.0,0.0,2899.6000000000004,806.0,0.0,0.0,0.0,1375.4,5828.599999999999,578.0,True
112,1960,NYK,2013.8,4764.0,4.3444,0.0,0.0,0.0,1883.4,4791.5,3.8399,3.3864,1127.4,1606.95,0.0,0.0,3008.45,968.3,0.0,0.0,0.0,1339.75,6267.25,568.0,False
113,1960,PHW,2074.8,4718.0,2.97455,0.0,0.0,0.0,2047.0,5201.1,2.62135,2.3236,1048.2,1780.5000000000002,0.0,0.0,3387.15,965.9000000000001,0.0,0.0,0.0,1160.05,6274.849999999999,330.0,True
114,1960,STL,1836.0,4082.8,4.2759,0.0,0.0,0.0,1807.4,4437.0,3.7592000000000003,3.1968,1250.8,1870.3500000000001,0.0,0.0,2913.4500000000003,1014.8,0.0,0.0,0.0,1399.2,5999.599999999999,504.0,True
115,1960,SYR,2022.9,4698.2,3.3836,0.0,0.0,0.0,1897.8,4953.6,2.9625000000000004,2.6352,1225.6,1715.95,0.0,0.0,2971.65,961.4000000000001,0.0,0.0,0.0,1340.8,6315.2,524.0,True
117,1961,BOS,2218.7,5732.8,2.8281,0.0,0.0,0.0,1997.6000000000001,5532.8,2.45355,2.1966,1244.0,1840.2,0.0,0.0,3574.2000000000003,1135.7,0.0,0.0,0.0,1370.8,6720.5,608.0,True
118,1961,CIN,2173.3,4831.4,3.47985,0.0,0.0,0.0,2021.4,4964.5,3.0291,2.601,1331.1,1859.9,0.0,0.0,3091.9,1206.2,0.0,0.0,0.0,1516.45,6639.45,328.0,False
119,1961,DET,2118.8,4890.3,3.55225,0.0,0.0,0.0,1979.8,5055.0,3.1469,2.7254,1461.8,2131.5,0.0,0.0,3180.4,1039.4,0.0,0.0,0.0,1512.9,6666.349999999999,344.0,True
120,1961,LAL,1895.0,4876.4,3.06895,0.0,0.0,0.0,1760.8,4712.5,2.698,2.3304,1267.0,1865.3000000000002,0.0,0.0,3081.8500000000004,917.0,0.0,0.0,0.0,1431.8,6385.1,390.0,True
121,1961,NYK,1927.9,4895.0,4.0911,0.0,0.0,0.0,1767.0,4664.0,3.5518,3.1346,1227.5,1789.15,0.0,0.0,2819.3,1007.6,0.0,0.0,0.0,1521.95,6371.5,534.0,False
122,1961,PHW,2286.4,4926.7,2.8438,0.0,0.0,0.0,2236.0,5436.8,2.4925,2.1939,1210.1,2091.55,0.0,0.0,3423.2,1164.5000000000002,0.0,0.0,0.0,1301.75,6771.25,288.0,True
